A		RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD
B		S12A	S12B	S12C	S12D	S333
C		FLOW	FLOW	FLOW	FLOW	FLOW
E						
F		SIMULATED	SIMULATED	SIMULATED	SIMULATED	SIMULATED
Units		FT^3/S	FT^3/S	FT^3/S	FT^3/S	FT^3/S
Type		PER-AVER	PER-AVER	PER-AVER	PER-AVER	PER-AVER
238	26Aug1965	0.0	0.0	0.0	0.0	0.0
239	27Aug1965	0.0	0.0	0.0	0.0	0.0
240	28Aug1965	0.0	0.0	0.0	0.0	0.0
241	29Aug1965	0.0	0.0	0.0	0.0	0.0
242	30Aug1965	0.0	0.0	0.0	0.0	0.0
243	31Aug1965	0.0	0.0	0.0	0.0	0.0
244	01Sep1965	0.0	0.0	0.0	0.0	0.0
245	02Sep1965	0.0	0.0	0.0	0.0	0.0
246	03Sep1965	0.0	0.0	0.0	0.0	0.0
247	04Sep1965	0.0	0.0	0.0	0.0	0.0
248	05Sep1965	0.0	0.0	0.0	0.0	0.0
249	06Sep1965	0.0	0.0	0.0	0.0	0.0
250	07Sep1965	0.0	0.0	0.0	0.0	0.0
251	08Sep1965	0.0	0.0	0.0	0.0	0.0
252	09Sep1965	0.0	0.0	0.0	0.0	0.0
253	10Sep1965	0.0	0.0	0.0	0.0	0.0
254	11Sep1965	0.0	0.0	0.0	0.0	1097.2
255	12Sep1965	0.0	0.0	0.0	0.0	1097.2
256	13Sep1965	0.0	0.0	0.0	0.0	1097.2
257	14Sep1965	0.0	0.0	0.0	0.0	1097.2
258	15Sep1965	0.0	0.0	0.0	0.0	1097.2
259	16Sep1965	0.0	0.0	0.0	0.0	1097.2
260	17Sep1965	0.0	0.0	0.0	0.0	1097.2
261	18Sep1965	0.0	0.0	0.0	0.0	1097.2
262	19Sep1965	0.0	0.0	0.0	0.0	1097.2
263	20Sep1965	0.0	0.0	0.0	0.0	1097.2
264	21Sep1965	0.0	0.0	0.0	0.0	1097.2
265	22Sep1965	0.0	0.0	0.0	0.0	1097.2
266	23Sep1965	0.0	0.0	0.0	0.0	1097.2
267	24Sep1965	0.0	0.0	0.0	0.0	1097.2
268	25Sep1965	0.0	0.0	0.0	0.0	1206.9
269	26Sep1965	0.0	0.0	0.0	0.0	1206.9
270	27Sep1965	0.0	0.0	0.0	0.0	1206.9
271	28Sep1965	0.0	0.0	0.0	0.0	1206.9
272	29Sep1965	0.0	0.0	0.0	0.0	1206.9
273	30Sep1965	0.0	0.0	0.0	0.0	1206.9
274	01Oct1965	0.0	0.0	0.0	0.0	1206.9
275	02Oct1965	0.0	0.0	0.0	0.0	1206.9
276	03Oct1965	0.0	0.0	0.0	0.0	1206.9
277	04Oct1965	0.0	0.0	0.0	0.0	1206.9
278	05Oct1965	0.0	0.0	0.0	0.0	1206.9
279	06Oct1965	0.0	0.0	0.0	0.0	1206.9
280	07Oct1965	0.0	0.0	0.0	0.0	1206.9
281	08Oct1965	0.0	0.0	0.0	0.0	1206.9
282	09Oct1965	0.0	0.0	0.0	0.0	877.7
283	10Oct1965	0.0	0.0	0.0	0.0	877.7
284	11Oct1965	0.0	0.0	0.0	0.0	877.7
285	12Oct1965	0.0	0.0	0.0	0.0	877.7
286	13Oct1965	0.0	0.0	0.0	0.0	877.7
287	14Oct1965	0.0	0.0	0.0	0.0	877.7
288	15Oct1965	0.0	0.0	0.0	0.0	877.7
289	16Oct1965	0.0	0.0	0.0	405.4	1350.0
290	17Oct1965	0.0	0.0	0.0	405.4	1350.0
291	18Oct1965	0.0	0.0	0.0	405.4	1350.0
292	19Oct1965	0.0	0.0	0.0	405.4	1350.0
293	20Oct1965	0.0	0.0	0.0	464.2	1291.2
294	21Oct1965	0.0	0.0	0.0	550.7	1204.8
295	22Oct1965	0.0	0.0	0.0	547.3	1208.2
296	23Oct1965	0.0	0.0	0.0	698.4	1057.1
297	24Oct1965	0.0	0.0	0.0	588.4	1167.0
298	25Oct1965	0.0	0.0	0.0	534.0	1221.4
299	26Oct1965	0.0	0.0	0.0	490.2	1265.3
300	27Oct1965	0.0	0.0	261.1	825.2	1290.5
301	28Oct1965	0.0	0.0	589.2	820.7	1315.0
302	29Oct1965	0.0	0.0	550.8	813.5	1334.1
303	30Oct1965	0.0	0.0	552.6	808.4	747.1
304	31Oct1965	0.0	0.0	611.9	851.8	845.9
305	01Nov1965	0.0	0.0	642.3	875.4	610.6
306	02Nov1965	0.0	0.0	653.1	884.9	756.0
307	03Nov1965	0.0	0.0	656.7	889.1	892.9
308	04Nov1965	0.0	0.0	658.0	891.0	993.8
309	05Nov1965	0.0	0.0	658.3	892.0	1050.3
310	06Nov1965	0.0	0.0	658.7	892.1	1063.0
311	07Nov1965	0.0	0.0	661.6	894.4	1089.4
312	08Nov1965	0.0	0.0	664.0	896.7	1115.7
313	09Nov1965	0.0	0.0	664.6	898.3	1144.3
314	10Nov1965	0.0	0.0	663.9	898.7	1166.6
315	11Nov1965	0.0	0.0	662.3	898.3	1185.2
316	12Nov1965	0.0	0.0	660.0	897.5	1201.6
317	13Nov1965	0.0	0.0	666.0	896.0	1189.4
318	14Nov1965	0.0	0.0	676.7	907.5	1141.3
319	15Nov1965	0.0	0.0	679.5	914.0	1167.9
320	16Nov1965	0.0	0.0	678.3	913.7	1187.6
321	17Nov1965	0.0	0.0	673.6	910.7	1202.6
322	18Nov1965	0.0	0.0	667.9	907.1	1213.8
323	19Nov1965	0.0	0.0	661.9	903.0	1220.1
324	20Nov1965	0.0	0.0	656.0	898.9	1223.2
325	21Nov1965	0.0	0.0	649.4	894.9	1232.0
326	22Nov1965	0.0	0.0	641.6	889.9	1240.9
327	23Nov1965	0.0	0.0	647.7	884.2	1038.2
328	24Nov1965	0.0	0.0	655.1	902.8	1122.6
329	25Nov1965	0.0	0.0	648.8	897.5	1157.2
330	26Nov1965	0.0	0.0	639.8	891.2	1180.3
331	27Nov1965	0.0	0.0	629.8	884.1	1197.2
332	28Nov1965	0.0	0.0	0.0	105.1	1211.6
333	29Nov1965	0.0	0.0	0.0	94.1	1222.6
334	30Nov1965	0.0	0.0	0.0	76.8	1239.9
335	01Dec1965	0.0	0.0	0.0	54.1	1262.6
336	02Dec1965	0.0	0.0	0.0	32.4	1284.3
337	03Dec1965	0.0	0.0	0.0	12.6	1304.1
338	04Dec1965	0.0	0.0	0.0	726.2	1304.7
339	05Dec1965	0.0	0.0	0.0	857.1	1309.9
340	06Dec1965	0.0	0.0	0.0	851.5	1315.5
341	07Dec1965	0.0	0.0	0.0	845.3	1321.7
342	08Dec1965	0.0	0.0	0.0	836.7	1330.3
343	09Dec1965	0.0	0.0	0.0	832.5	1334.5
344	10Dec1965	0.0	0.0	0.0	825.7	1341.3
345	11Dec1965	0.0	0.0	0.0	385.0	1350.0
346	12Dec1965	0.0	0.0	0.0	385.0	1350.0
347	13Dec1965	0.0	0.0	0.0	385.0	1350.0
348	14Dec1965	0.0	0.0	0.0	385.0	1350.0
349	15Dec1965	0.0	0.0	0.0	385.0	1350.0
350	16Dec1965	0.0	0.0	0.0	385.0	1350.0
351	17Dec1965	0.0	0.0	0.0	385.0	1350.0
352	18Dec1965	0.0	0.0	0.0	0.0	857.4
353	19Dec1965	0.0	0.0	0.0	0.0	857.4
354	20Dec1965	0.0	0.0	0.0	0.0	857.4
355	21Dec1965	0.0	0.0	0.0	0.0	857.4
356	22Dec1965	0.0	0.0	0.0	0.0	857.4
357	23Dec1965	0.0	0.0	0.0	0.0	857.4
358	24Dec1965	0.0	0.0	0.0	0.0	857.4
359	25Dec1965	0.0	0.0	0.0	254.8	1350.0
360	26Dec1965	0.0	0.0	0.0	254.8	1350.0
361	27Dec1965	0.0	0.0	0.0	254.8	1350.0
362	28Dec1965	0.0	0.0	0.0	254.8	1350.0
363	29Dec1965	0.0	0.0	0.0	254.8	1350.0
364	30Dec1965	0.0	0.0	0.0	254.8	1350.0
365	31Dec1965	0.0	0.0	0.0	254.8	1350.0
366	01Jan1966	0.0	0.0	0.0	0.0	1050.2
367	02Jan1966	0.0	0.0	0.0	0.0	1050.2
368	03Jan1966	0.0	0.0	0.0	0.0	1050.2
369	04Jan1966	0.0	0.0	0.0	0.0	1050.2
370	05Jan1966	0.0	0.0	0.0	0.0	1050.2
371	06Jan1966	0.0	0.0	0.0	0.0	1050.2
372	07Jan1966	0.0	0.0	0.0	0.0	1050.2
373	08Jan1966	0.0	0.0	0.0	0.0	1050.2
374	09Jan1966	0.0	0.0	0.0	0.0	1050.2
375	10Jan1966	0.0	0.0	0.0	0.0	1050.2
376	11Jan1966	0.0	0.0	0.0	0.0	1050.2
377	12Jan1966	0.0	0.0	0.0	0.0	1050.2
378	13Jan1966	0.0	0.0	0.0	0.0	1050.2
379	14Jan1966	0.0	0.0	0.0	0.0	1050.2
380	15Jan1966	0.0	0.0	0.0	0.0	1050.7
381	16Jan1966	0.0	0.0	0.0	0.0	1050.7
382	17Jan1966	0.0	0.0	0.0	0.0	1050.7
383	18Jan1966	0.0	0.0	0.0	0.0	1050.7
384	19Jan1966	0.0	0.0	0.0	0.0	1050.7
385	20Jan1966	0.0	0.0	0.0	0.0	1050.7
386	21Jan1966	0.0	0.0	0.0	0.0	1050.7
387	22Jan1966	0.0	0.0	0.0	0.0	1215.3
388	23Jan1966	0.0	0.0	0.0	0.0	1215.3
389	24Jan1966	0.0	0.0	0.0	0.0	1215.3
